slice_id,video_path,gif_path,keywords
--I-TdCe2_g_clip009.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/J_Utah/--I-TdCe2_g_clip009.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/J_Utah/--I-TdCe2_g_clip009.gif,"urban, daytime"
29ccKPPxN8g_clip004.mp4,"/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Love,_Drive,_Travel_Drive_with_me_in_Korea/29ccKPPxN8g_clip004.mp4","/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Love,_Drive,_Travel_Drive_with_me_in_Korea/29ccKPPxN8g_clip004.gif","car2motorcyclist, urban, motorcyclist"
2b3bbKcKIFA_clip010.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/Driving_in_China/2b3bbKcKIFA_clip010.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/Driving_in_China/2b3bbKcKIFA_clip010.gif,"night, urban"
5I9GwlucI7U_clip025.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/NYC_Taxi_Driver/5I9GwlucI7U_clip025.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/NYC_Taxi_Driver/5I9GwlucI7U_clip025.gif,parking
75X9vSFCh14_clip014.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip014.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip014.gif,"car2pedestrian, urban, pedestrian, crosswalk, intersection"
75X9vSFCh14_clip015.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip015.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip015.gif,"crosswalk, urban"
75X9vSFCh14_clip028.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip028.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/J_Utah/75X9vSFCh14_clip028.gif,"crosswalk, traffic_light, intersection"
8T044v8EG5E_clip019.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/中国街景_Chinese_Street_View/8T044v8EG5E_clip019.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/中国街景_Chinese_Street_View/8T044v8EG5E_clip019.gif,"crosswalk, night, urban"
8T044v8EG5E_clip027.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/中国街景_Chinese_Street_View/8T044v8EG5E_clip027.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/中国街景_Chinese_Street_View/8T044v8EG5E_clip027.gif,"car2motorcyclist, night, intersection"
9hx6vF9iT58_clip004.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/videos/video_database/opendv_short_clips/takemytripdotcom/9hx6vF9iT58_clip004.mp4,/Users/lilyzhang/Desktop/Qwen2.5-VL/embedding_search/data/gifs/video_database/opendv_short_clips/takemytripdotcom/9hx6vF9iT58_clip004.gif,highway
